ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
11,,Aloewood/Agarwood,Aquilaria malaccensis,"Traditionally used for cough, asthma, digestive problems, anxiety, and pain relief.","Wood, bark, or resin is prepared as a decoction, tea, or essential oil.","Use in moderation. Essential oil should be diluted before topical use, and pregnant or breastfeeding women should consult a healthcare professional before use.","Tree, up to 20(-40) m tall, with bole up to 60 cm in diameter, usually straight, sometimes fluted or with thick (10 cm) buttresses up to 2 m high; bark smooth, whitish; branchlets slender, pale brown, pubescent, glabrescent. Leaves simple, alternate; petiole 4-6 mm long; blade elliptical-oblong to oblong-lanceolate, 7.5-12 cm × 2.5-5.5 cm, chartaceous to subcoriaceous, glabrous, sometimes pubescent and glabrescent beneath, shiny on both surfaces, base acute, attenuate or obtuse, apex acuminate, acumen up to 2 cm long; veins in 12-16 pairs, rather irregular, often branched, elevated and distinct beneath, curving upward to the margin, plane or obscure above."
12,,Amaranth,Amaranthus viridis,"Traditionally used for diarrhea, fever, inflammation, and digestive problems.","Leaves are eaten as a vegetable, prepared as tea, or made into a decoction.",Wash thoroughly before use. People prone to kidney stones should consume it in moderation due to its oxalate content.,"Kolitis is an erect, smooth, branched unarmed herb, 30 to 60 centimeters high. Leaves are alternate, ovate, long-petioled, 4 to 10 centimeters long, obtuse tip, usually notched, base truncate or decurrent. Flowers are very small, densely disposed, green, 1 millimeter long. Sepals are 5, or 1 to 3, ovate to linear, often aristate. Inflorescences are terminal, axillary, simple or panicled, interrupted spikes. Fruits are compressed, indehiscent or circumcised utricles. Seeds are black or brown, orbicular."
13,,Amaryllis Lily,Hippeastrum spp.,"Traditionally used for swelling, wounds, and joint pain (external use).",Bulbs or leaves are crushed into a paste and applied externally.,"Do not ingest. The bulbs are poisonous and may cause vomiting, diarrhea, and other toxic effects. Avoid use during pregnancy and keep away from children and pets.","Orange lirio is a bulbous perennial with runners or stolons. Leaves are fleshy green, sword like, 25 to 40 centimeters long, 3 centimeters wide, strap-shaped, narrowed at the tip, developing fully as the flowers wilt. Stem arising from the bulb is cylindrical, hollow, 30 to 40 centimeters long, the tip bearing 2 to 4 stalked, showy, more or less nodding, red or orange colored flowers. Flowers are trumpet-shaped, 8 to 10 centimeters in diameter, the tube about 2.5 centimeters long, and the 6 segments 10 to 12 centimeters long. The fruit is a roundish capsule."
14,,Ambarella,Spondias dulcis,"Traditionally used for cough, fever, sore throat, and digestive problems.","Leaves or bark are prepared as a decoction, while the fruit is eaten fresh or made into juice.",Consume in moderation. People with sensitive stomachs should avoid excessive intake of the sour fruit.,"Spondias dulcis is a tropical fast growing deciduous tree, averaging 10 to 12 meters high, occasionally reaching 20 meters.,that can reach a height of 20 meters. Leaves are pinnate, 20 to 60 centimeters in length, with 9 to 25 glossy, elliptic or obovate-oblong leaflets 9 to 10 centimeters long, finely toothed toward the ape. Flowers are small, inconspicuous in terminal panicles. Fruit is oval, 6 to 0 centimeters long, borne in bunches of 12 or more on long stalks, green when unripe, amber-colored when ripe."
15,,Amur Peppervine,Ampelopsis glandulosa,"Traditionally used for inflammation, joint pain, fever, and minor wounds.",Leaves or roots are prepared as a decoction or crushed into a paste for external use.,"Use with caution, as medicinal safety is not well established. Avoid use during pregnancy and do not consume excessive amounts.","Branchlets terete, with longitudinal ridges; tendrils 2- or 3-branched. Leaves simple, 3-5-cleft, usually mixed with some undivided leaves; petiole 1-7 cm; leaf blade 3.5-14 × 3-11 cm, basal veins 5, lateral veins 4 or 5 pairs, veinlets inconspicuously raised, base cordate, notches nearly obtuse, rarely rounded, margin with acute teeth, apex acute. Peduncle 1-2.5 cm. Pedicel 1-3 mm. Buds ovoid, 1-2 mm, apex rounded. Petals ovate-elliptic, 0.8-1.8 mm. Anthers narrowly elliptic. Lower part of ovary adnate to disk; style slightly enlarged at base. Berry 5-8 mm in diam., 2-4-seeded. Seed narrowly elliptic."
16,,Andamanese Bowstring Plant,Ampelopsis glandulosa,"Traditionally used for inflammation, joint pain, fever, and minor wounds.",Leaves or roots are prepared as a decoction or crushed into a paste for external use.,"Use with caution, as medicinal safety is not well established. Avoid use during pregnancy and do not consume excessive amounts.","Anodendron paniculatum is a glabrous liana. Leaves with petiole up to 2.5 cm long; blade elliptical to obovate, 14-28 cm × 1-10 cm (2-4.5 times as long as wide), base cuneate to rounded, apex acuminate, lateral veins 8-18 pairs. Inflorescence 5-15 cm long; pedicel 1.5-3 mm long; sepals about 1 mm long; petals whitish-yellow, glabrous outside, pubescent inside, tube 1-3 mm long, lobes 2-4 mm long; stamens inserted up to 1 mm from corolla base; disk 0.3 mm in diameter; pistil 1-1.5 mm long. Fruit 8-16 cm × 1-3 cm. Seed up to 22 mm × 9 mm, beak 6-17 mm long, coma 5-9 cm long."
17,,Angelica,Angelica archangelica,"Traditionally used for indigestion, bloating, cough, colds, and menstrual cramps.","Roots or seeds are prepared as a tea, decoction, or tincture.",Avoid during pregnancy. May increase sensitivity to sunlight and interact with blood-thinning medications.,"Katakataka is an erect, more or less branched, smooth, succulent herb, 0.4 to 1.4 meters in height. Leaves are simple or pinnately compound, with the leaflets elliptic, usually about 10 centimeters long, thick, succulent, and scalloped margins. Plantlets grow along the notches of the leaf margins which can develop while still attached to the plant or when detached, a fascinating characteristic that earns its name. (see image below) Flowers are cylindric, and pendulous in a large, terminal panicle. Calyx is tubular, cylindric, inflated, brownish or purplish, 3.5 to 4 centimeters long. Corolla is tubular, about 5 centimeters long, inflated at the base, and then constricted, the exserted parts being reddish or purplish and the lobes tapering to a point. Fruit is a follicle with many seeds."
18,,Angel Locks,Cuscuta reflexa,"Traditionally used for fever, jaundice, skin diseases, and urinary problems.",Stems are prepared as a decoction or paste for external application.,"Use only under proper guidance. Avoid use during pregnancy, and do not consume excessive amounts.","Payang-payang is an erect undershrub, 0.5 to 1.5 meters in height. Leaves are 3-foliate. Leaflets are finely hairy beneath, the terminal one being oblong, 8 to 13 centimeters long, and more than twice as large as the two lateral ones. Inflorescence is terminal and axillary, and 8 to 25 centimeters long. Flowers are white and about 6 millimeters long, umbellate or fascicled, hidden by the distichous, orbicular bracts, which are 1 to 1.5 centimeters in diameter. Stamens are 10, upper one free, other 9 united. Ovary is few- to many-ovuled, superior. Fruits are pods, oblong, hairy and usually of 2, rarely 1- or 3 joints."
19,,Angel's Trumpet,Brugmansia suaveolens,"Traditionally used for asthma, muscle pain, and inflammation (under strict traditional use).",Leaves or flowers are prepared as a poultice or used in highly controlled traditional remedies.,Highly poisonous. All parts of the plant contain toxic alkaloids. Do not self-medicate or ingest any part of the plant. Keep away from children and pets.,"Trompeta is a small tree or large shrub growing to a height of 3 meters or more. Leaves are simple, opposite, ovate-lanceolate, 13 to 18 centimeters long, 6 to 8 centimeters wide, with pointed tips, unequal, obtuse or rounded bases, with entire or hairy margins. Flowers are large and showy, about 20 centimeters long, creamy white, pendulous, and musk-like in odor. Calyx is tubular, entire and spathelike. Corolla tube is cylindrical with very big lobes."
20,,Annatto,Bixa orellana,"Traditionally used for fever, sore throat, burns, wounds, and digestive problems.","Leaves are prepared as a decoction, while seeds are used as a tea or natural food coloring.","Generally safe in moderate amounts. Avoid excessive intake, and discontinue use if allergic reactions occur.","Atsuete is a tree reaching 4 to 6 meters. Leaves are entire, alternate with long petioles, ovate, 8 to 20 centimeters long, 5 to 12 centimeters wide, with a broad and heart-shaped base, and a pointed tip. The flowers are white or pinkish, 4 to 6 centimeters diameter, 4 to 6 centimeters in diameter on terminal panicles. Fruits are spiny capsules, ovoid or rounded, reddish brown, about 4 centimeters long, and covered with long, slender and soft spines. Fruit dry and split open in two parts exposing many small red seeds covered with a dye-yielding red pulp."
21,,Anthurium,Anthurium andraenum,"Traditionally used for minor wounds, skin irritation, and inflammation (limited traditional use).",Leaves are crushed and applied externally as a poultice.,"Do not ingest. The plant contains calcium oxalate crystals that can cause mouth irritation, swelling, and skin irritation. Keep away from children and pets.","Anthurium is an evergreen perennial plant that can grown to a meter in height. Leaves are large, dark, glossy, oblong or heart-shaped, up to 30 centimeters in length. Each leaf is held on a 30 to 60 centimeter petiole. Flowers are slender, finger-like or tail like spadix above a shiny, waxy, crinkled, heart-shaped spathe, red to bright orange."
22,,Ant plant,Myrmecodia tuberosa,"Traditionally used for wounds, inflammation, joint pain, and digestive problems.","Tuber is sliced, dried, and prepared as a decoction or herbal tea.",Use in moderation. Pregnant or breastfeeding women and people with chronic illnesses should consult a healthcare professional before use.,"Banghai is an epiphytic coastal herb. Lower stem is very greatly swollen into a large, rounded, fleshy, tuberous structure containing numerous labyrinthine cavities which are inhabited by ants. Leaves are opposite, thick, elliptic-obovate, 4 to 10 centimeters long, rounded or very bluntly pointed at the tip, and wedged-shaped at the base. Flowers are solitary or few fascicled, borne in the leaf axils, pale white, about 6 millimeters long. Corolla is salver-shaped, about 5 millimeters long, cylindric, with four tufts of hairs in the throat. Fruit is juicy, yellowish-red when ripe, broadly ovoid, and about 5 centimeters long."
23,,Ant Tree / Mulato Tree,Bursera simaruba,"Traditionally used for fever, diarrhea, wounds, skin infections, and inflammation.","Bark or leaves are prepared as a decoction, while bark resin may be applied to wounds.",Use in moderation. Avoid excessive intake and consult a healthcare professional before medicinal use.,"A small tree growing to 15 m tall, the upper branches usually glabrous, reddish to grayish brown. The leaves are subsessile to petiolate, with canaliculate petioles up to 2 cm long; leaves oblong, most 2.5–4 times as long as wide, 15–25 (–30) cm long, 4–9 cm wide, apex acute to acuminate, basally rounded to acute. Staminate inflorescences of fascicles forming compact spikes up to 1 cm wide. Pistillate flowers on pedicels 2.5–9 mm long, the sepals becoming 30–50 mm long, the free wings 2–3 times as long as the tubes; wings oblanceolate."
24,,Apple Blossom Shower,Cassia javanica,"Traditionally used for fever, constipation, skin diseases, and inflammation.","Leaves, bark, or flowers are prepared as a decoction or infusion.",Use in moderation. Avoid excessive intake and consult a healthcare professional before medicinal use.,"Cassia javanica is a medium-sized tree growing up to 15 meters tall, with a spreading crown. Leaves are alternate and pinnately compound. Leaflets are 5 centimeters long, obtuse, and smooth on the upper surface, with short, fine hairs below. Flowers are light to dark pink. Fruit is an elongated pod, woody, brownish-black, up to 30 centimeters long and 2 centimeters wide."
25,,Apple of Sodom,Calotropis procera,"Traditionally used for joint pain, skin diseases, cough, and digestive problems.","Leaves or latex are applied externally, while roots are prepared as a decoction in traditional medicine.",Avoid internal use without medical guidance. The latex is toxic and may cause severe skin and eye irritation. Keep away from children and pets.,"Solanum sodomeum is a hairy and spiny shrub, growing to a height of 1.5 meters. Leaves are ovate, dark green with 2-3 serrate lobes. Flowers are violet. Fruit is orange, globose, up to 3 cm and many-seeded."
26,,Apricot vine,Cissus nodosa,"Traditionally used for wounds, inflammation, fever, and body aches.",Leaves or stems are prepared as a decoction or crushed into a paste for external use.,Use in moderation. Avoid excessive intake and consult a healthcare professional before medicinal use.,"Granada is a shrub growing 2 to 3 meters high. Branchlets are slender and 4-angled. Leaves are oblong-lanceolate to oblong-elliptic; 4 to 6 centimeters long, short-stalked, and pointed at both ends. Flowers are red and showy, usually with six segments in the calyx which are 2.5 to 3 centimeters long. Petals are obovate, about 2 centimeters long. Stamens are numerous. Fruit is rounded, reddish-yellow or purplish, 7 to 10 centimeters in diameter. Rind is thin, tough, and brittle. Fruit contains numerous seeds, each seed surrounded by a watery, translucent, flavorful pinkish-red pulp."
27,,Aquatic Rotula,Rotula aquatica,"Traditionally used for kidney stones, urinary tract infections, painful urination, and inflammation.",Roots are dried and prepared as a decoction or herbal tea.,Use in moderation. Pregnant or breastfeeding women and people with kidney disorders should consult a healthcare professional before use.,"Takad is a shrub or bush that grows to a height of 2 to 3 meters. Leaves are alternate, imbricate, ovate-oblong, usually 0.8 to 1.5 centimeters in length, and short-stalked. Flowers are small and crowded, and borne on terminal inflorescences. Sepals are five, about 4.5 millimeters long, and narrow with sharp points. Corolla is purple or pink, 5 to 6 millimeters long, and five lobed. Fruit is an orange or red drupe, somewhat rounded, fleshy, about 4 millimeters in diameter, and containing four seeds."
28,,Arabian Jasmine,Jasminum sambac,"Traditionally used for fever, headache, cough, skin wounds, and eye irritation.","Flowers or leaves are prepared as a tea, infusion, or crushed into a paste for external application.","Use in moderation. Discontinue use if allergic reactions occur, and consult a healthcare professional before medicinal use.","Sampagita is a spreading or sprawling, smooth shrub, usually less than 2 meters in height. Leaves are glossy, ovate or rounded and 6 to 12 centimeters long, with short stalks, pointed or blunt tip, and pointed or rounded base. Flowers are white, very fragrant and borne singly or in threes on axillary or terminal inflorescences. Calyx teeth are 8 to 10, very slender, 5 to 8 millimeters long. Corolla tube is slender and 1 to 1.5 centimeters long; the limb is usually double and 1.5 to 2 centimeters in diameter. Stamens are 2, ovary 2-celled. The double kind is called ""kampupot,"" which is less fragrant."
29,,Arbor-vitae,Thuja occidentalis,"Traditionally used for cough, bronchitis, warts, rheumatism, and urinary tract infections.","Leaves or twigs are prepared as a tea or tincture, while essential oil is used externally.","Avoid excessive use. The plant contains thujone, which can be toxic if ingested in large amounts. Avoid use during pregnancy.","Oriental arbor-vitae is a small, slow growing tree, growing to a height of 15 to 20 meters, the trunk about 0.5 meters in diameter, up to 2 meters in very old trees. Stems are multiple. Bark is thin, reddish brown and peeling in longitudinal strips. Branches are ascending, ramified in a vertical plane. Leaves are decussately opposite, scale-like, 2 millimeters long, tightly appressed. Male cones are terminal, 2 to 3 millimeters long; female cones are axillary, oblong, 20 to 25 millimeters by 10 to 18 millimeters, with fleshy scales. Seeds are ovoid, flattened, 5 to 7 by 3 to 4 millimeters, and wingless. (9)"
30,,Archer Cherry,Rivina humilis,"Traditionally used for fever, minor wounds, skin infections, and inflammation.",Leaves are prepared as a decoction or crushed into a paste for external application.,"Avoid eating the berries, as they may be mildly toxic. Use medicinally only in moderation and under proper guidance.","Aidia racemosa is a tree to 25 m tall; branches somewhat flattened becoming subterete, glabrous. Petiole 5-6 mm, glabrous; leaf blade drying thinly leathery, lanceolate to elliptic-oblong, 7-12 × 2-4 cm, glabrous on both surfaces, base acute to cuneate, apex acute; secondary veins 4 or 5 pairs, in abaxial axils usually with foveolate and/or pilosulous domatia; stipules caducous, shortly united around stem, narrowly triangular, 3-5 mm, glabrous, apex acuminate. Inflorescences cymose, ca. 3 × 4-6 cm, glabrescent, with axes becoming monochasial distally; peduncle ca. 0.5 cm; bracts triangular, 1-1.5 mm, acute; pedicels 1-3 mm. Calyx glabrous; ovary portion ellipsoid, ca. 1 mm; limb ca. 1.5 mm, shortly dentate to denticulate; teeth 5. Corolla white, outside glabrous; tube ca. 4 mm; lobes 5, narrowly spatulate-oblong, 5-5.5 mm, adaxially strigillose, obtuse to rounded. Berry 4-8 mm in diam., glabrous."
31,,Areca Nut,Areca catechu,"Traditionally used for intestinal worms, indigestion, and diarrhea.","Seeds are dried, sliced, and prepared as a decoction or chewed in traditional practices.",Avoid frequent or excessive use. Regular chewing of areca nut is linked to oral cancer and other serious health risks.,"Bunga is an erect, solitary tree growing to 25 meters high, and marked with annular scars. Leaves about 3 to 4 meters long with numerous leaflets, 60 to 90 centimeters long, the upper ones confluent. Spadix is much branched and compressed, with the branches filiform above, bearing very numerous, somewhat distichous male flowers which are yellow and about 5 millimeters long. Female flowers are at the base of the branches and in axils, about 1 centimeter long or more. Fruits are ovoid, smooth, orange or red when ripe; 4 to 6 centimeters long, with a somewhat fleshy pericarp and fibrous mesocarp."
32,,Argus pheasant tree,Dracontomelon dao,"Traditionally used for diarrhea, stomachache, fever, and skin infections.","Bark or leaves are prepared as a decoction, while crushed leaves may be applied to affected areas.",Use in moderation. Avoid excessive intake and consult a healthcare professional before medicinal use.,"Dao is a large tree, growing 30 meters or taller, with the trunk 1 meter or more in diameter. Leaves are alternate and pinnately compound. Leaflets are smooth, oblong, 5 to 7 pairs, up to 15 centimeters long and 4 centimeters wide, pointed at the apex, and abruptly tapered at the base. Flowers are small, white, and fragrant, hanging in lax panicles. Fruit is globose, green turning yellow when ripe with oval markings on the upper side of the fruit, about 2 to 3 centimeters in diameter."
33,,Arrow head vine,Syngonium podophyllum,"Traditionally used for minor wounds, skin irritation, and inflammation (limited traditional use).",Leaves are crushed and applied externally as a poultice.,"Avoid ingestion. The plant contains calcium oxalate crystals that can cause mouth, throat, and skin irritation.","â€¢ Syngonium podophyllum is a perennial vine growing to a height of 10-20 meters. Petioles are slender. Leaves are arrow-shaped, thin, green and undulating. Leaves change shape as they mature, becoming bigger and lobed."
34,,Arrowleaf false Pickerelweed,Monochoria hastata,"Traditionally used for fever, skin diseases, inflammation, and wounds.",Leaves are prepared as a decoction or crushed into a paste for external application.,Use in moderation. Ensure the plant is collected from clean water sources to avoid contamination.,"Gabi-gabihan is fast-growing perennial herb. Leaves are long-petioled. Petioles are stout, up to 60 centimeters long, sheathing below. Blade is broadly ovate, 10 to 30 centimeters long, the base prominently hastate, the sinus very broad, the lobes spreading and oblong-ovate. Inflorescence is spicate, many flowered, 4 to 5 centimeters long. Flowers are blue, about 1 centimeter long, the lower ones with elongated pedicels. Fruits are ellipsoid 3-valved capsules, about 1 centimeter long. Seeds are numerous, oblong, with 8 to 12 longitudinal ridges."
35,,Arrowroot,Maranta arundinacea,"Traditionally used for diarrhea, indigestion, stomach ulcers, and urinary tract infections.","Rhizomes are washed, dried, and processed into flour or prepared as a decoction.",Generally safe when consumed as food. Use in moderation and ensure proper preparation to avoid contamination.,"Araru is an erect, smooth, dichotomously branched herbaceous perennial plant 1 - 2 meters high, growing from fleshy, fusiform rootstock. Stems are slender. Leaf blades are lanceolate, attenuate-acuminate, 10 to 20 centimeters long, thin petioled, green and rounded at the base. Inflorescence is terminal, lax, divaricate, and few-flowered. Flowers are white, about 2 centimeters lon"
36,,Artillery Plant,Pilea microphylla,"Traditionally used for wounds, skin inflammation, cough, and fever.",Whole plant or leaves are prepared as a decoction or crushed into a paste for external application.,Use in moderation. Avoid excessive intake and discontinue use if irritation or allergic reactions occur.,"Alabong is a small,soft, smooth herb, 10 centimeters or less in height. Stems are slender, angular, green with a tint of purple, and angular. Leaves occur in two rows, petioled, somewhat elliptical in shape, 2 to 5 millimeters in length. Flowers are very small and crowded in small inflorescences (cymes) which are greenish or tinged with red and less than 1 millimeter in length."
37,,Ashoka tree,Saraca asoca,"Traditionally used for menstrual disorders, heavy bleeding, diarrhea, and dysentery.","Bark, flowers, or leaves are prepared as a decoction or herbal tea.",Use in moderation. Pregnant or breastfeeding women should consult a healthcare professional before use.,"Asoka is usually a small tree growing up to 10 meters high, slow-growing when young. Bark is dark brown, gray or black. Leaves are alternate, and even-pinnate, 15 to 25 centimeters long with with 3 to 6 pairs of leaflets. Leaflets are oblong or oblong-lanceolate, often blunt , up to 22 centimeters long. Flowers are fragrant at night, orange red or red, depending on age. Corymbs are 18 centimeters across. Pod is up to 25 centimeters long."
38,,Asian Brake,Pteris vittata,"Traditionally used for fever, cough, skin diseases, and inflammation.",Fronds are prepared as a decoction or crushed into a paste for external application.,"Use with caution. This fern can accumulate arsenic from contaminated soil, so only use plants collected from safe, uncontaminated areas.","akong-parang is a small terrestrial fern, with creeping rhizomes, sparingly clothed with adpressed scales. Stipe (fern ""stem"") of fertile fronds are 5 to 10 centimeters long; those of the sterile fronds longer, 10 to 30 centimeters long; pale, glabrous and fascicled (growing in dense tufts). Fronds are thin and glabrous, 10 to 30 centimeters long, with very few pinnae; sterile fronds are shortest, 5 to 15 centimeters broad, with the lowest or all lateral pinnae pinnate, with few sharply serrate, oblong lateral pinnules, 7 to 10 millimeters wide; the fertile fronds with pinnae correspondingly forked instead of pinnate, the segments longer, linear and 4 to 8 milimeters wide. Sori are on the lower surface of the leaflets, along the margins in a dense uninterrupted row which does not extend to the apex. Sori protected by a reflexed membranaceous projection of the margin."
39,,Asian Broom Grass,Thysanolaena latifolia,"Traditionally used for fever, diarrhea, wounds, and urinary problems.",Leaves or roots are prepared as a decoction or infusion.,"Use in moderation. Consult a healthcare professional before medicinal use, especially during pregnancy.","Tiger grass is a strongly tufted, very robust perennial grass with erect or slightly spreading solid bamboo-like culms up to 3.5 m tall. Leaf-sheath hairy along outer margin; ligule a scarious membrane, 1-2 mm long; leaf-blade lanceolate-acuminate, 30-65 cm × 3-7.5 cm, base broad and rounded or subcordate, margins scaberulous, conspicuously glaucous beneath. Inflorescence a terminal huge and drooping panicle, up to 140 cm long, well exserted, branches divided and subdivided into many branchlets; spikelets awnless, short pedicelled, falling with part of the pedicel, often in pairs on a common peduncle, 2-flowered; lower glumes clasping. Caryopsis subglobose to ovoid, 0.6 mm long, reddish-brown."
